<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,5,20180220,160500,141.7200000,142.0200000,141.5100000,141.8400000,923970
GAZP,5,20180220,161000,141.8200000,141.8900000,141.7000000,141.7200000,109680
GAZP,5,20180220,161500,141.7200000,141.7900000,141.7200000,141.7800000,20260
GAZP,5,20180220,162000,141.7900000,141.8500000,141.7900000,141.8400000,23370
GAZP,5,20180220,162500,141.8500000,141.9700000,141.7700000,141.7700000,137270
GAZP,5,20180220,163000,141.7700000,141.7700000,141.5800000,141.6300000,114960
GAZP,5,20180220,163500,141.6800000,141.7000000,141.6600000,141.7000000,68930
GAZP,5,20180220,164000,141.6700000,141.7000000,141.6300000,141.6300000,51260
GAZP,5,20180220,164500,141.6800000,141.7000000,141.6000000,141.6800000,87280
GAZP,5,20180220,165000,141.7000000,142.0500000,141.6900000,142.0500000,263320
GAZP,5,20180220,165500,142.0400000,142.0500000,141.7900000,142.0500000,264600
GAZP,5,20180220,170000,142.0500000,142.0800000,141.8000000,142.0400000,132260
GAZP,5,20180220,170500,142.0100000,142.0700000,141.9500000,142.0000000,215130
GAZP,5,20180220,171000,142.0000000,142.1100000,141.7700000,142.0300000,332720
GAZP,5,20180220,171500,142.0500000,142.2000000,142.0400000,142.0900000,94360
GAZP,5,20180220,172000,142.0900000,142.2300000,142.0600000,142.1300000,209190
GAZP,5,20180220,172500,142.1300000,142.2400000,142.0100000,142.0100000,278680
GAZP,5,20180220,173000,142.0200000,142.1700000,141.9000000,141.9800000,193680
GAZP,5,20180220,173500,141.9900000,142.1300000,141.9900000,142.0200000,183940
GAZP,5,20180220,174000,142.1000000,142.2000000,142.0000000,142.0700000,415990
GAZP,5,20180220,174500,142.0000000,142.0700000,141.7500000,141.7500000,300650
GAZP,5,20180220,175000,141.7600000,141.9200000,141.6200000,141.8900000,171820
GAZP,5,20180220,175500,141.9000000,141.9300000,141.8000000,141.8100000,246980
GAZP,5,20180220,180000,141.8200000,141.8700000,141.6000000,141.8000000,372630
GAZP,5,20180220,180500,141.8000000,141.8600000,141.4200000,141.6100000,306060
GAZP,5,20180220,181000,141.6100000,141.7800000,141.6000000,141.7400000,60260
GAZP,5,20180220,181500,141.7300000,141.8000000,141.6200000,141.7500000,182470
GAZP,5,20180220,182000,141.7500000,141.7500000,141.4500000,141.5700000,255580
GAZP,5,20180220,182500,141.5700000,141.5700000,141.1600000,141.4500000,375250
GAZP,5,20180220,183000,141.4500000,141.4900000,141.0900000,141.1400000,420670
GAZP,5,20180220,183500,141.1200000,141.1400000,140.7700000,140.9500000,264230
GAZP,5,20180220,184000,140.9500000,141.0000000,140.7200000,140.8500000,369150
GAZP,5,20180220,185000,141.3200000,141.3200000,141.3200000,141.3200000,1158860
GAZP,5,20180221,100500,140.9000000,141.7100000,140.8800000,141.3100000,451080
GAZP,5,20180221,101000,141.3500000,141.3800000,140.8000000,140.9100000,355480
GAZP,5,20180221,101500,140.9000000,141.3500000,140.8000000,141.2100000,265680
GAZP,5,20180221,102000,141.2500000,141.2700000,141.0900000,141.1200000,131890
GAZP,5,20180221,102500,141.1200000,141.1800000,140.7900000,140.8900000,259760
GAZP,5,20180221,103000,140.9400000,140.9600000,140.5300000,140.7400000,289790
GAZP,5,20180221,103500,140.6700000,140.7600000,140.5500000,140.6100000,119220
GAZP,5,20180221,104000,140.6000000,140.8500000,140.5600000,140.8400000,138830
GAZP,5,20180221,104500,140.8000000,140.9700000,140.8000000,140.8700000,67850
GAZP,5,20180221,105000,140.9400000,141.0400000,140.8700000,140.9900000,55900
GAZP,5,20180221,105500,140.9800000,141.0800000,140.8700000,140.8900000,70630
GAZP,5,20180221,110000,140.8900000,140.9000000,140.5700000,140.7400000,187260
GAZP,5,20180221,110500,140.7500000,141.3400000,140.7500000,141.2800000,338600
GAZP,5,20180221,111000,141.2500000,141.9000000,141.1500000,141.9000000,845220
GAZP,5,20180221,111500,141.9000000,142.0600000,141.5800000,142.0000000,931560
GAZP,5,20180221,112000,142.0300000,142.0600000,141.7200000,141.9300000,512980
GAZP,5,20180221,112500,141.9300000,141.9400000,141.5100000,141.6300000,366310
GAZP,5,20180221,113000,141.5700000,141.6300000,141.0400000,141.2000000,366760
GAZP,5,20180221,113500,141.2200000,141.8300000,141.1800000,141.5300000,432440
GAZP,5,20180221,114000,141.5300000,141.7200000,141.4000000,141.4900000,222610
